name,feature_types,detail_text,see_also,source_page
"DELFINO, ENRIQUE",cantero central,"Ley Nº 2.049-2006, BO Nº 2.514. Enrique Pedro Delfino (1895-1967), pianista; compositor de Sans Souci, Re Fa Si, Milonguita, Griseta, Aquel tapado de armiño y Padrino pelao. Contribuye con su música en las películas La vuelta de Rocha, Tres anclaos en Paris y Los tres berretines, entre otras.",,146
"DEMARE, LUCIO",cantero central,"Ordenanza N° 45.591-1991, BM N° 19.205. Lucio Demare (1906-1974), pianista; compositor de Mañanitas de Montmartre, Dandy, Malena y Solamente ella.",,148
"DICKMANN, DOCTOR ADOLFO",calle,"Ordenanza N° 18.271-1961, BM N° 11.731. La Ordenanza Nº 18.862-1963, BM Nº 12.263, restituye su nombre actual. Adolfo Dickmann (1882-1938), odontólogo y político; concejal socialista en Buenos Aires de 1919 a 1920; diputado nacional de 1922 a 1930 y de 1930 a 1936; autor de Los argentinos naturalizados en la política, Nacionalismo y socialismo y En defensa del petróleo nacional. 18 DE DICIEMBRE DE 1872 “CREACIÓN DE LA ESTACIÓN LINIERS” (espacio verde). Ley N° 891-2002, BO N° 1.544. 18 de diciembre de 1872: fecha del acta del directorio del Ferrocarril de la provincia por el que se resuelve imponer el nombre de Liniers al apeadero que se había acordado construir y que se inaugurará finalmente en septiembre de 1876 (información proporcionada por el historiador del transporte Alberto Bernades).",,151
DON FULGENCIO,cantero central,"Ley N° 431-2000, BO Nº 1.002. Don Fulgencio: personaje que dio nombre a la historieta creada por Lino Palacio en 1932.",,154
DON PEPE,plaza,"Ordenanza N° 43.150-1988, BM N° 18.443. José Sciarrotta (1905-1998), filántropo; conocido en el barrio de Barracas por “Don Pepe”; colabora en la construcción de esta plaza y se hizo estimado por su noble gesto de entregar juguetes y golosinas a los niños.",,154
"DRESCO, ARTURO ANTONIO",calle,"Ordenanza N° 43.944-1989, BM N° 18.691. Arturo Antonio Dresco (1875-1961), escultor; profesor y vicedirector de la Academia Nacional de Bellas Artes; autor del Monumento a España y a Juan Larrea.",,155
"EGUÍA, DOCTOR OSVALDO",calle,"Decreto N° 1.339-1945, BM Nº 7.409. Osvaldo Fermín Eguía (¿-?), médico; actúa durante la epidemia de fiebre amarilla de 1871 y diagnostica los primeros casos que aparecieron; director del Hospital de Alienados de 1871 a 1890.",,163
"ENDORCIA, PADRE FERNANDO",cantero central,"Ley Nº 1.762/2005, BO Nº 2.278. Fernando Endorcia (1921-1985), sacerdote; conocido como el cura “albañil”; tiene una destacada actuación en el barrio de Mataderos, dedica su vida a ayudar a los más humildes de la comunidad; crea la Iglesia y dirige el Colegio Nuestra Señora de Luján de los Patriotas. ENRIQUE “EL NAVEGANTE”, INFANTE DON (plazoleta). Ordenanza N° 14.636-1962, BM N° 11.930. Enrique “El Navegante” (1394-1460), príncipe de Portugal que emprende el descubrimiento de las costas africanas del Atlántico; descubre así la Isla de Madera en 1418; las islas Azores de 1432 a 1457; el Río del Oro en 1436 y Senegal en 1445.",,165
"ESTÉVEZ, MANUEL",calle,"Ordenanza N° 44.667-1990, BM N° 18.937. Manuel Estévez (1824-1893), político de origen español; juez de Paz (1858- 1859 y 1880); presidente de la Comisión Municipal de Higiene (1867) de Barracas al Sur (hoy Avellaneda); intendente de Barracas al Sur (1889).",,171
EVITA,plaza,"Ordenanza N° 51.924-1997, BO Nº 293. Evita: diminutivo con el que se identifica popularmente a María Eva Duarte de Perón (1919-1952). Véase PERÓN, EVA (avenida y plazoleta). También se la recuerda en la plazoleta ABANDERADA DE LOS HUMILDES",,172
"EXPÓSITO, HOMERO",cantero central,"Ley Nº 2744-2008. BO Nº 2.973. Homero Aldo Expósito (1918-1987), poeta y compositor; autor de Tristezas de la calle Corrientes, Margo, Afiches, Sexto piso, Trenzas, Yuyo verde y Ese muchacho Troilo; y junto a su hermano Virgilio, de Farol, Maquillaje y Naranjo en Flor.",,172
"FILIPINAS, PASEO REPÚBLICA DE",cantero central,"Ordenanza Nº 21.625- 1966, BM N° 12.925. Filipinas: estado del sudeste asiático. Capital: Manila.",,179
"FILIPO, PRESBÍTERO VIRGILIO",cantero central,"Ordenanza Nº 45.597- 1991, BM N° 19.225. Virgilio Filipo (1896-1969), sacerdote; capellán del Orfelinato Regina Colle; párroco de la Inmaculada Concepción de Belgrano desde 1939; diputado nacional y adjunto eclesiástico a la presidencia de la Nación (1947-1948).",,179
"FONTENLA, NORMA",cantero central,"Ordenanza N° 45.305-1991, BM N° 19.182. Norma Fontenla (1929-1971), primera bailarina del Teatro Colón; recibe el premio de mejor bailarina en el Festival Internacional de París. Muere junto con ocho bailarines al caer el avión donde viajaba en la costa del Río de la Plata el 10 de octubre de 1971.",,182
